rosbagTimestamp,data
1645113669297017260,818
1645113670296975703,818
1645113671296989784,818
1645113672297068490,818
1645113673307361741,818
1645113674307223485,817
1645113675307257518,818
1645113676307404688,818
1645113677317129379,818
1645113678317096129,818
1645113679317200959,818
1645113680327242211,818
1645113681327333585,818
1645113682327267691,818
1645113683327337434,818
1645113684337311438,818
1645113685337364994,818
1645113686337272545,818
1645113687337409972,818
1645113688347539488,817
1645113689347364323,818
1645113690347428349,819
1645113691347559395,818
1645113692357481107,818
1645113693357327347,818
1645113694357635894,818
1645113695367716513,818
1645113696367346843,818
1645113697367555682,818
1645113698367693545,818
1645113699377405212,817
1645113700377424812,818
1645113701377582384,805
1645113702377751660,797
1645113703387559590,772
1645113704387917249,780
1645113705387851872,782
1645113706387628073,778
1645113707397797538,772
1645113708397708123,770
1645113709397833056,765
1645113710407932913,774
1645113711407852249,777
1645113712408131409,769
1645113713407910619,768
1645113714417669527,775
1645113715417802787,781
1645113716417864502,777
1645113717417799594,779
1645113718427895752,783
1645113719428122846,784
1645113720428010870,778
1645113721437898377,773
1645113722438073856,787
1645113723438140478,785
1645113724437917445,787
1645113725448019191,778
1645113726448245840,760
1645113727448001870,768
1645113728448101807,776
1645113729458220461,777
1645113730458266451,779
1645113731458263831,785
1645113732458301598,783
1645113733468299573,772
1645113734468242557,762
1645113735468193484,762
1645113736468144066,759
1645113737478198470,761
1645113738478251967,769
1645113739478261137,769
1645113740488334805,773
1645113741488336095,777
1645113742488388741,782
1645113743488332673,781
1645113744498377417,779
1645113745498380780,779
1645113746498349720,776
1645113747498268859,784
1645113748508710128,779
1645113749508537415,779
1645113750508740664,778
1645113751508738660,770
1645113752518543038,781
1645113753518681970,785
1645113754518545603,781
1645113755528561164,780
1645113756528511519,773
1645113757528589386,781
1645113758528735834,774
1645113759538791097,774
1645113760538705834,774
1645113761538705769,771
1645113762538858086,776
1645113763548705179,772
1645113764548798738,777
1645113765548722589,769
1645113766548908938,777
1645113767558803061,773
1645113768559072648,761
1645113769559152098,769
1645113770559032011,766
1645113771569088508,764
1645113772569093472,759
1645113773569003637,767
1645113774568938946,774
1645113775579001434,778
1645113776579045463,781
1645113777578866060,782
1645113778578989997,778
1645113779589132054,779
1645113780589010897,783
1645113781588980657,784
1645113782599174125,775
1645113783599229491,785
1645113784599086110,781
1645113785599175409,775
1645113786609435480,781
1645113787609307312,785
1645113788609289787,784
1645113789609313772,782
1645113790619504544,780
1645113791619296352,777
1645113792619173980,776
1645113793619360224,772
1645113794629405821,772
1645113795629372938,770
1645113796629334015,777
1645113797629526222,778
1645113798639416726,783
1645113799639434508,777
1645113800639669880,773
1645113801639577558,769
1645113802649362141,764
1645113803649677314,756
1645113804649664913,777
1645113805649454754,780
1645113806659666603,781
1645113807659848409,783
1645113808659692679,781
1645113809669480262,783
1645113810669645079,777
1645113811669630935,769
1645113812669579793,770
1645113813679739553,777
1645113814679695028,783
1645113815679812527,784
1645113816679730801,781
1645113817689727819,782
1645113818689965474,775
1645113819689913328,775
1645113820689853919,777
1645113821700038824,771
1645113822699995645,768
1645113823699781593,778
1645113824699985833,772
1645113825710073330,775
1645113826710078838,777
1645113827710066855,779
1645113828710254365,778
1645113829719965138,781
1645113830720131563,780
1645113831720048192,778
1645113832720174096,761
1645113833730004489,771
1645113834730018649,774
1645113835730218756,762
1645113836740303377,765
1645113837740138029,778
1645113838740287406,758
1645113839740266026,773
1645113840750147346,773
1645113841750187804,768
1645113842750475708,772
1645113843750314180,774
1645113844760494585,782
1645113845760401322,778
1645113846760590587,782
1645113847760526199,775
1645113848770297984,787
1645113849770439496,785
1645113850770512486,788
1645113851770556260,788
1645113852780456497,782
1645113853780657480,780
1645113854780565473,778
1645113855790425563,780
1645113856790630100,778
1645113857790595762,775
1645113858800538137,781
1645113859800654598,780
1645113860800571406,783
1645113861800580674,783
1645113862810872862,780
1645113863810814079,782
1645113864810789843,784
1645113865810810070,782
1645113866820916966,783
1645113867820799413,777
1645113868820752923,761
1645113869830691504,772
1645113870830765737,773
1645113871830884456,766
1645113872830934135,773
1645113873840800827,764
1645113874840968949,748
1645113875841129668,757
1645113876840951286,755
1645113877850998796,762
1645113878851308191,777
1645113879851007451,781
1645113880850923551,779
1645113881861463570,754
1645113882861308225,767
1645113883861207955,773
1645113884861183787,773
1645113885871334788,777
1645113886871153509,777
1645113887871188908,773
1645113888871424127,773
1645113889881171414,777
1645113890881162287,774
1645113891881428362,780
1645113892881400974,778
1645113893891245345,777
1645113894891342602,769
1645113895891337406,769
1645113896891305329,760
1645113897901405596,757
1645113898901287664,756
1645113899901422450,767
1645113900901271357,773
1645113901911543313,781
1645113902911606499,774
1645113903911652670,777
1645113904921462276,775
1645113905921470515,744
1645113906921673413,751
1645113907921619438,759
1645113908931439022,747
1645113909931662098,748
1645113910931824575,751
1645113911931582634,744
1645113912941814686,771
1645113913941802104,745
1645113914941618812,759
1645113915941586762,757
1645113916951797293,754
1645113917951762800,755
1645113918951683581,756
1645113919951803950,752
1645113920961856386,767
1645113921962045622,744
1645113922961927686,741
1645113923961864073,739
1645113924971920660,735
1645113925971949405,688
1645113926971878477,747
1645113927982021418,746
1645113928982069766,748
1645113929981969006,765
1645113930982044494,750
1645113931992318066,750
1645113932992016323,752
1645113933991972090,751
1645113935002249817,744
1645113936002070165,671
1645113937001928268,756
1645113938002302712,756
1645113939012361948,652
1645113940012347278,771
1645113941012269538,774
1645113942012490085,779
1645113943022300804,771
1645113944022169281,775
1645113945022503878,771
1645113946022274273,776
1645113947032266848,780
1645113948032580038,777
1645113949032511508,771
1645113950032365547,767
1645113951042421986,766
1645113952042396699,768
1645113953042590405,785
1645113954042567956,780
1645113955052417331,782
1645113956052585384,782
1645113957052616184,781
1645113958052521942,780
1645113959062570187,781
1645113960062901395,781
1645113961062815637,780
1645113962062828365,772
1645113963072701392,760
1645113964072670442,749
1645113965072652449,709
1645113966082682147,721
1645113967082833329,756
1645113968082769031,757
1645113969082675879,766
1645113970092758283,769
1645113971092727707,767
1645113972092801132,772
1645113973092881350,772
1645113974102885232,774
1645113975102805549,780
1645113976103020834,776
1645113977102949784,778
1645113978113175393,778
1645113979113100991,772
1645113980113077202,769
1645113981113222992,703
1645113982123147715,708
1645113983122976949,758
1645113984123105220,748
1645113985122907378,768
1645113986133055084,776
1645113987133181151,773
1645113988133478735,771
1645113989143229980,773
1645113990143073368,781
1645113991143325250,779
1645113992143486224,774
1645113993153256878,777
1645113994153339407,782
1645113995153429748,780
1645113996153238478,750
1645113997163545568,750
1645113998163714742,724
1645113999163633178,759
1645114000163616488,734
1645114001173450048,751
1645114002173470452,749
1645114003173512830,773
1645114004183508847,785
1645114005183554925,778
1645114006183635747,766
1645114007183461506,764
1645114008193557434,756
1645114009193610298,754
1645114010193699802,748
1645114011203555963,751
1645114012203706892,743
1645114013203738971,744
1645114014213815554,743
1645114015213848408,746
1645114016214035152,763
1645114017213977946,780
1645114018223714063,762
1645114019223869003,772
1645114020223849304,774
1645114021233686441,778
1645114022233908744,776
1645114023234086213,776
1645114024233915224,781
1645114025243964181,777
1645114026243970552,766
1645114027243936381,757
1645114028243820338,763
1645114029254115042,761
1645114030254384605,800
1645114031253922131,771
1645114032264186270,731
1645114033264194022,707
1645114034264455518,697
1645114035264227053,705
1645114036274090466,726
1645114037274216562,749
1645114038274355902,775
1645114039284261456,778
1645114040284270837,776
1645114041284461767,774
1645114042284210876,766
1645114043294255855,771
1645114044294340130,785
1645114045294314043,776
1645114046294385835,771
1645114047304339276,770
1645114048304458517,771
1645114049304289883,774
1645114050304213311,774
1645114051314781516,774
1645114052314549923,773
1645114053314466911,780
1645114054314783029,775
1645114055324556693,768
1645114056324560974,766
1645114057324727478,768
1645114058324749773,768
1645114059334648603,765
1645114060334610046,769
1645114061334624385,783
1645114062334718922,750
1645114063344823081,796
1645114064344666048,767
1645114065344962899,718
1645114066344790684,747
1645114067354848689,764
1645114068354980236,726
1645114069355101497,749
1645114070355037791,738
1645114071365086033,736
1645114072365192644,735
1645114073365136923,750
1645114074365060743,747
1645114075375050218,727
1645114076375175367,732
1645114077374993571,698
1645114078384945065,738
1645114079385034368,763
1645114080385186292,766
1645114081395166542,774
1645114082395379978,763
1645114083395246985,763
1645114084405423471,762
1645114085405546421,765
1645114086405477240,778
1645114087405267712,777
1645114088415515453,778
1645114089415368038,777
1645114090415555158,777
1645114091415506074,779
1645114092425292033,784
1645114093425401298,778
1645114094425434909,774
1645114095435419128,778
1645114096435339433,784
1645114097435648027,768
1645114098445560449,763
1645114099445371246,766
1645114100445608307,763
1645114101445595525,760
1645114102455629888,740
1645114103455725708,735
1645114104455855567,733
1645114105455751520,749
1645114106465668911,775
1645114107465747417,774
1645114108465753263,773
1645114109465907271,775
1645114110475862524,773
1645114111475781166,773
1645114112475666880,777
1645114113475767919,775
1645114114485824811,770
1645114115485911370,775
1645114116485902198,780
1645114117485897045,775
1645114118495950275,786
1645114119496023092,780
1645114120495943421,751
1645114121506067874,773
1645114122506236201,767
1645114123506193463,758
1645114124506111361,761
1645114125505903610,797
1645114126516388209,800
1645114127516133826,802
1645114128516370491,803
1645114129516485222,804
1645114130526151902,805
1645114131526221964,806
1645114132526241154,781
1645114133536259695,767
1645114134536156064,764
1645114135536323014,769
1645114136536284495,768
1645114137546288956,769
1645114138546382224,757
1645114139546439835,758
1645114140546360821,749
1645114141556466080,761
1645114142556562579,760
1645114143556563719,782
1645114144556751649,767
1645114145566380858,774
1645114146566593341,780
1645114147566695235,773
1645114148576635744,768
1645114149576600417,752
1645114150576687489,714
1645114151576621323,719
1645114152586677069,754
1645114153586834064,765
1645114154586821229,782
1645114155586615652,776
1645114156596745336,770
1645114157596894943,771
1645114158596756341,768
