rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,hardware_id,mcu_uptime,secs,nsecs,connection_uptime,secs,nsecs,mcu_temperature,stop_engaged,measured_battery,measured_48v,measured_24v,measured_12v,current_battery,current_48v,current_24v,current_12v,current_computer,current_battery_peak,total_power_consumed
1617242421965276484,,0,,1617242421,964766061,'',"""99b9a6fe1727b9fa4c6e224a493fc8e8c0385aa5""",,6245,0,,6213,0,25.0,True,49.6208000183,49.5802726746,23.9161396027,12.026096344,5.72439575195,-1.0,0.232232883573,0.0550750717521,1.07231068611,0.0,0.0
1617242422973076613,,0,,1617242422,972168659,'',"""99b9a6fe1727b9fa4c6e224a493fc8e8c0385aa5""",,6246,0,,6214,0,26.0,True,49.6188201904,49.5781402588,23.9165687561,12.0260829926,5.72998046875,-1.0,0.230219706893,0.0555831491947,1.0501948595,0.0,0.0
1617242423977829856,,0,,1617242423,977168659,'',"""99b9a6fe1727b9fa4c6e224a493fc8e8c0385aa5""",,6247,0,,6215,0,26.0,True,49.6163787842,49.5756950378,23.9168186188,12.0261764526,5.69827270508,-1.0,0.229889214039,0.05489808321,1.06270802021,0.0,0.0
1617242424985847628,,0,,1617242424,985168659,'',"""99b9a6fe1727b9fa4c6e224a493fc8e8c0385aa5""",,6248,0,,6216,0,25.0,True,49.6121063232,49.5702056885,23.9157123566,12.0261077881,5.7370300293,-1.0,0.232609987259,0.0549055561423,1.04074037075,0.0,0.0
1617242425990706392,,0,,1617242425,990591077,'',"""99b9a6fe1727b9fa4c6e224a493fc8e8c0385aa5""",,6249,0,,6217,0,26.0,True,49.6118125916,49.5695495605,23.9166698456,12.0261974335,5.67822265625,-1.0,0.230817824602,0.0552817471325,1.0401545763,0.0,0.0
1617242426998506885,,0,,1617242426,998591077,'',"""99b9a6fe1727b9fa4c6e224a493fc8e8c0385aa5""",,6250,0,,6218,0,26.0,True,49.6068000793,49.5650482178,23.9170513153,12.0262269974,5.73284912109,-1.0,0.229170069098,0.0565392374992,1.04046201706,0.0,0.0
1617242428003510662,,0,,1617242428,2982015,'',"""99b9a6fe1727b9fa4c6e224a493fc8e8c0385aa5""",,6251,0,,6219,0,25.0,True,49.6034660339,49.5614280701,23.9158401489,12.026137352,5.73037719727,-1.0,0.232517495751,0.0550039447844,1.05177938938,0.0,0.0
1617242429011333815,,0,,1617242429,10982015,'',"""99b9a6fe1727b9fa4c6e224a493fc8e8c0385aa5""",,6252,0,,6220,0,25.0,True,49.599937439,49.557472229,23.9163208008,12.0261001587,5.76629638672,-1.0,0.23106187582,0.0550360791385,1.06132805347,0.0,0.0
1617242430016295844,,0,,1617242430,15982015,'',"""99b9a6fe1727b9fa4c6e224a493fc8e8c0385aa5""",,6253,0,,6221,0,26.0,True,49.5984573364,49.556427002,23.9166488647,12.0261545181,5.71911621094,-1.0,0.230015546083,0.0558872483671,1.04039883614,0.0,0.0
1617242431024415602,,0,,1617242431,24372313,'',"""99b9a6fe1727b9fa4c6e224a493fc8e8c0385aa5""",,6254,0,,6222,0,25.0,True,49.5936470032,49.552318573,23.9159221649,12.0262098312,5.75018310547,-1.0,0.231864318252,0.0558049604297,1.04059839249,0.0,0.0
